"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"Gratio"	"PtoT"	"AvgPtTime"	"TimePerGame"	"PtsPerGame"	"PlusMin"	"Position"
"1"	"1"	"OVECHKIN"	" ALEX"	"Washington"	"F(LW)"	79	1184.17	59	34	2.989	1.723	63.44	640	525	9.2188	93.5238	102.7426	1222	1077	61.917	54.57	53.15	4.8282	96.8431	101.6713	27	13	2	40	29	231	451	11.6883116883	5.9866962306	1.3681	0.6587	0.1013	2.0267	1.4694	11.7044	22.8515	45.76	22.03	67.8	49.15	NA	" ALEX OVECHKIN"	0.116883116883117	0.0337789337679556	29.60425	14.9894936708861	2.66853576766849	25	"F(LW)"
"2"	"2"	"KANE"	" PATRICK"	"Chicago"	"F(RW)"	82	1306.52	67	53	3.077	2.434	55.83	665	659	10.0752	91.9575	102.0327	1241	1158	56.991	53.18	51.73	5.3989	95.4231	100.822	25	32	21	57	46	187	300	13.3689839572	8.33333333333	1.1481	1.4696	0.9644	2.6176	2.1125	8.5877	13.7771	37.31	47.76	85.07	68.66	NA	" PATRICK KANE"	0.133689839572193	0.0436273459265836	22.9214035087719	15.9331707317073	3.57744236597985	14	"F(RW)"
"3"	"3"	"NEAL"	" JAMES"	"Nashville"	"F(LW)"	82	1248.3	53	30	2.547	1.442	63.86	625	565	8.48	94.6903	103.1703	1216	1054	58.447	50.661	53.57	4.3586	97.1537	101.5123	24	13	9	37	33	197	358	12.1827411168	6.70391061453	1.1536	0.6248	0.4326	1.7784	1.5862	9.4689	17.2074	45.28	24.53	69.81	62.26	NA	" JAMES NEAL"	0.121827411167513	0.0296403108227189	33.7378378378378	15.2231707317073	2.43050548746295	23	"F(LW)"
"4"	"4"	"PAVELSKI"	" JOE"	"San Jose"	"F(C)"	82	1189.22	65	31	3.279	1.564	67.71	636	485	10.2201	93.6082	103.8283	1211	986	61.099	49.747	55.12	5.3675	96.856	102.2235	24	17	12	41	36	134	256	17.9104477612	9.375	1.2109	0.8577	0.6054	2.0686	1.8163	6.7608	12.9161	36.92	26.15	63.08	55.38	NA	" JOE PAVELSKI"	0.17910447761194	0.0344763794756227	29.0053658536585	14.5026829268293	2.82706311700106	34	"F(C)"
"5"	"5"	"TARASENKO"	" VLADIMIR"	"St. Louis"	"F(RW)"	80	1126.87	53	40	2.822	2.13	56.99	620	554	8.5484	92.7798	101.3282	1154	1014	61.445	53.99	53.23	4.5927	96.0552	100.6479	22	21	11	43	33	209	385	10.5263157895	5.71428571429	1.1714	1.1181	0.5857	2.2895	1.7571	11.1282	20.4993	41.51	39.62	81.13	62.26	NA	" VLADIMIR TARASENKO"	0.105263157894737	0.0381587938271495	26.2062790697674	14.085875	3.05270350617196	13	"F(RW)"
"6"	"6"	"TAVARES"	" JOHN"	"NY Islanders"	"F(C)"	78	1209.08	53	43	2.63	2.134	55.21	616	624	8.6039	93.109	101.7129	1212	1142	60.145	56.671	51.49	4.3729	96.2347	100.6076	22	23	20	45	42	161	296	13.6645962733	7.43243243243	1.0917	1.1414	0.9925	2.2331	2.0842	7.9895	14.6888	41.51	43.4	84.91	79.25	NA	" JOHN TAVARES"	0.136645962732919	0.0372183809177226	26.8684444444444	15.5010256410256	2.90303371158236	10	"F(C)"
"7"	"7"	"SEGUIN"	" TYLER"	"Dallas"	"F(C)"	72	1066.2	54	55	3.039	3.095	49.54	600	498	9	88.9558	97.9558	1158	949	65.166	53.405	54.96	4.6632	94.2044	98.8676	21	16	10	37	31	163	310	12.8834355828	6.77419354839	1.1818	0.9004	0.5627	2.0822	1.7445	9.1728	17.4451	38.89	29.63	68.52	57.41	NA	" TYLER SEGUIN"	0.128834355828221	0.0347026824235603	28.8162162162162	14.8083333333333	2.49859313449634	-1	"F(C)"
"8"	"8"	"FORSBERG"	" FILIP"	"Nashville"	"F(LW)"	82	1120.3	54	42	2.892	2.249	56.25	618	514	8.7379	91.8288	100.5667	1203	933	64.429	49.969	56.32	4.4888	95.4984	99.9872	21	13	9	34	30	170	351	12.3529411765	5.98290598291	1.1247	0.6962	0.482	1.8209	1.6067	9.1047	18.7985	38.89	24.07	62.96	55.56	NA	" FILIP FORSBERG"	0.123529411764706	0.0303490136570561	32.95	13.6621951219512	2.4886191198786	12	"F(LW)"
"9"	"9"	"NELSON"	" BROCK"	"NY Islanders"	"F(C)"	81	1049.53	42	36	2.401	2.058	53.85	498	518	8.4337	93.0502	101.4839	944	997	53.967	56.997	48.63	4.4492	96.3892	100.8384	21	10	4	31	25	134	244	15.671641791	8.60655737705	1.2005	0.5717	0.2287	1.7722	1.4292	7.6605	13.9491	50	23.81	73.81	59.52	NA	" BROCK NELSON"	0.156716417910448	0.0295370308614332	33.8558064516129	12.9571604938272	2.39249949977609	6	"F(C)"
"10"	"10"	"DUCHENE"	" MATT"	"Colorado"	"F(C)"	76	1103.77	46	45	2.501	2.446	50.55	543	638	8.4715	92.9467	101.4182	985	1188	53.544	64.579	45.33	4.6701	96.2121	100.8822	21	19	11	40	32	144	239	14.5833333333	8.78661087866	1.1415	1.0328	0.598	2.1744	1.7395	7.8277	12.9919	45.65	41.3	86.96	69.57	NA	" MATT DUCHENE"	0.145833333333333	0.0362394339400419	27.59425	14.5232894736842	2.75419697944318	1	"F(C)"
