"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"TimePerGame"
"1"	"1"	"KANE"	" PATRICK"	"Chicago"	"F(RW)"	82	1673.1	127	68	4.554	2.439	65.13	967	747	13.1334	90.8969	104.0303	1788	1282	64.12	45.975	58.24	7.1029	94.6958	101.7987	46	59	40	105	86	287	461	16.0278745645	9.97830802603	1.6496	2.1158	1.4345	3.7655	3.0841	10.2923	16.5322	36.22	46.46	82.68	67.72	NA	" PATRICK KANE"	20.4036585365854
"2"	"2"	"BENN"	" JAMIE"	"Dallas"	"F(LW)"	82	1641.78	127	86	4.641	3.143	59.62	1005	757	12.6368	88.6394	101.2762	1907	1457	69.693	53.247	56.69	6.6597	94.0975	100.7572	41	48	26	89	67	247	431	16.5991902834	9.51276102088	1.4984	1.7542	0.9502	3.2526	2.4486	9.0268	15.7512	32.28	37.8	70.08	52.76	NA	" JAMIE BENN"	20.0217073170732
"3"	"3"	"CROSBY"	" SIDNEY"	"Pittsburgh"	"F(C)"	80	1637.28	114	60	4.178	2.199	65.52	1084	714	10.5166	91.5966	102.1132	1949	1286	71.423	47.127	60.25	5.8492	95.3344	101.1836	36	49	29	85	65	248	446	14.5161290323	8.07174887892	1.3193	1.7957	1.0627	3.1149	2.382	9.0882	16.3441	31.58	42.98	74.56	57.02	NA	" SIDNEY CROSBY"	20.466
"4"	"4"	"KARLSSON"	" ERIK"	"Ottawa"	"D"	82	2373.85	131	115	3.311	2.907	53.25	1270	1083	10.315	89.3813	99.6963	2505	1948	63.315	49.236	56.25	5.2295	94.0965	99.326	16	66	35	82	51	248	584	6.45161290323	2.7397260274	0.4044	1.6682	0.8846	2.0726	1.289	6.2683	14.7608	12.21	50.38	62.6	38.93	NA	" ERIK KARLSSON"	28.9493902439024
"5"	"5"	"THORNTON"	" JOE"	"San Jose"	"F(C)"	82	1505	123	52	4.904	2.073	70.29	982	536	12.5255	90.2985	102.824	1841	1049	73.395	41.821	63.7	6.6812	95.0429	101.7241	19	62	33	81	52	120	209	15.8333333333	9.09090909091	0.7575	2.4718	1.3156	3.2292	2.0731	4.7841	8.3322	15.45	50.41	65.85	42.28	NA	" JOE THORNTON"	18.3536585365854
"6"	"6"	"WHEELER"	" BLAKE"	"Winnipeg"	"F(RW)"	82	1621.82	102	86	3.774	3.182	54.26	957	763	10.6583	88.7287	99.387	1833	1337	67.813	49.463	57.82	5.5646	93.5677	99.1323	26	52	37	78	63	256	459	10.15625	5.66448801743	0.9619	1.9238	1.3688	2.8857	2.3307	9.4709	16.981	25.49	50.98	76.47	61.76	NA	" BLAKE WHEELER"	19.7782926829268
"7"	"7"	"PANARIN"	" ARTEMI"	"Chicago"	"F(C)"	80	1480.87	107	63	4.335	2.553	62.94	825	645	12.9697	90.2326	103.2023	1555	1144	63.004	46.351	57.61	6.881	94.493	101.374	30	48	29	78	59	187	333	16.0427807487	9.00900900901	1.2155	1.9448	1.175	3.1603	2.3905	7.5766	13.4921	28.04	44.86	72.9	55.14	NA	" ARTEMI PANARIN"	18.510875
"8"	"8"	"PAVELSKI"	" JOE"	"San Jose"	"F(C)"	82	1623.63	125	59	4.619	2.18	67.93	1017	619	12.2911	90.4685	102.7596	1917	1232	70.841	45.528	60.88	6.5206	95.211	101.7316	39	38	24	77	63	219	389	17.8082191781	10.0257069409	1.4412	1.4043	0.8869	2.8455	2.3281	8.093	14.3752	31.2	30.4	61.6	50.4	NA	" JOE PAVELSKI"	19.8003658536585
"9"	"9"	"KUZNETSOV"	" EVGENY"	"Washington"	"F(C)"	82	1428.05	105	54	4.412	2.269	66.04	867	604	12.1107	91.0596	103.1703	1562	1147	65.628	48.192	57.66	6.7222	95.2921	102.0143	20	57	43	77	63	193	318	10.3626943005	6.2893081761	0.8403	2.3949	1.8067	3.2352	2.647	8.109	13.3609	19.05	54.29	73.33	60	NA	" EVGENY KUZNETSOV"	17.415243902439
"10"	"10"	"GAUDREAU"	" JOHNNY"	"Calgary"	"F(LW)"	79	1573.67	102	68	3.889	2.593	60	926	653	11.0151	89.5865	100.6016	1720	1256	65.579	47.888	57.8	5.9302	94.586	100.5162	30	47	30	77	60	217	371	13.8248847926	8.08625336927	1.1438	1.792	1.1438	2.9358	2.2877	8.2737	14.1453	29.41	46.08	75.49	58.82	NA	" JOHNNY GAUDREAU"	19.9198734177215
"11"	"11"	"BURNS"	" BRENT"	"San Jose"	"D"	82	2119.23	126	101	3.567	2.86	55.51	1228	958	10.2606	89.4572	99.7178	2326	1804	65.854	51.075	56.32	5.417	94.4013	99.8183	26	49	25	75	51	348	739	7.47126436782	3.51826792963	0.7361	1.3873	0.7078	2.1234	1.4439	9.8526	20.9227	20.63	38.89	59.52	40.48	NA	" BRENT BURNS"	25.8442682926829
"12"	"12"	"KOPITAR"	" ANZE"	"Los Angeles"	"F(C)"	81	1690.2	105	65	3.727	2.307	61.76	934	747	11.242	91.2985	102.5405	1842	1385	65.389	49.166	57.08	5.7003	95.3069	101.0072	25	49	25	74	50	177	311	14.1242937853	8.038585209	0.8875	1.7394	0.8875	2.6269	1.7749	6.2833	11.0401	23.81	46.67	70.48	47.62	NA	" ANZE KOPITAR"	20.8666666666667
